
> trainhub@0.1.0 dev
> next dev --webpack

▲ Next.js 16.2.9 (webpack)
- Local:         http://localhost:3000
- Network:       http://192.168.100.107:3000
- Environments: .env
✓ Ready in 757ms
- Experiments (use with caution):
  · cpus: 2

 GET /login?redirect=%2F.well-known%2Fappspecific%2Fcom.chrome.devtools.json 200 in 75ms (next.js: 6ms, proxy.ts: 9ms, application-code: 59ms)
 GET /api/auth/me 401 in 49ms (next.js: 4ms, proxy.ts: 11ms, application-code: 34ms)
 POST /api/auth/login 200 in 1173ms (next.js: 996ms, proxy.ts: 8ms, application-code: 169ms)
 GET /api/auth/me 200 in 33ms (next.js: 14ms, proxy.ts: 9ms, application-code: 10ms)
 GET /admin 200 in 3.4s (next.js: 3.2s, proxy.ts: 6ms, application-code: 212ms)
 GET /admin 200 in 160ms (next.js: 10ms, proxy.ts: 10ms, application-code: 139ms)
 GET /api/admin/actions 200 in 1194ms (next.js: 1157ms, proxy.ts: 14ms, application-code: 23ms)
 GET /api/notifications 200 in 1205ms (next.js: 1158ms, proxy.ts: 14ms, application-code: 33ms)
 GET /api/admin/actions 200 in 43ms (next.js: 9ms, proxy.ts: 10ms, application-code: 24ms)
 GET /api/notifications 200 in 48ms (next.js: 17ms, proxy.ts: 11ms, application-code: 21ms)
 GET /api/notifications 200 in 47ms (next.js: 5ms, proxy.ts: 7ms, application-code: 36ms)
 GET /admin/bookings 200 in 1715ms (next.js: 1658ms, proxy.ts: 7ms, application-code: 50ms)
 GET /api/admin/bookings?page=1&limit=20 200 in 715ms (next.js: 599ms, proxy.ts: 92ms, application-code: 25ms)
 GET /api/admin/bookings?page=1&limit=20 200 in 100ms (next.js: 6ms, proxy.ts: 81ms, application-code: 12ms)
 GET /api/notifications 200 in 62ms (next.js: 15ms, proxy.ts: 19ms, application-code: 29ms)
 GET /api/admin/actions 200 in 71ms (next.js: 34ms, proxy.ts: 20ms, application-code: 17ms)
 GET /admin/reimbursements 200 in 722ms (next.js: 677ms, proxy.ts: 9ms, application-code: 36ms)
 GET /api/admin/reimbursements 200 in 578ms (next.js: 529ms, proxy.ts: 35ms, application-code: 14ms)
 GET /api/admin/reimbursements 200 in 60ms (next.js: 3ms, proxy.ts: 47ms, application-code: 10ms)
 GET /admin/invoices 200 in 1203ms (next.js: 1160ms, proxy.ts: 6ms, application-code: 36ms)
 GET /api/admin/invoices 200 in 656ms (next.js: 605ms, proxy.ts: 32ms, application-code: 19ms)
 GET /api/admin/invoices 200 in 45ms (next.js: 3ms, proxy.ts: 31ms, application-code: 11ms)
 POST /api/auth/logout 200 in 526ms (next.js: 512ms, proxy.ts: 5ms, application-code: 9ms)
 GET /login 200 in 70ms (next.js: 35ms, proxy.ts: 6ms, application-code: 29ms)
 GET /login 200 in 31ms (next.js: 4ms, proxy.ts: 7ms, application-code: 21ms)
 POST /api/auth/login 200 in 1223ms (next.js: 1186ms, proxy.ts: 9ms, application-code: 28ms)
 GET /api/auth/me 200 in 791ms (next.js: 772ms, proxy.ts: 6ms, application-code: 13ms)
 GET /trainer 200 in 1357ms (next.js: 1098ms, proxy.ts: 7ms, application-code: 251ms)
 GET /trainer 200 in 146ms (next.js: 5ms, proxy.ts: 11ms, application-code: 130ms)
